id,county,pop100,intptlat,intptlon
756,001,8,36.8292946,-109.3361421
760,001,39,36.7385059,-109.3573055
761,001,109,36.7399147,-109.3962744
762,001,3,36.7726732,-109.3866321
763,001,5,36.7780282,-109.3719881
765,001,9,36.7862886,-109.4429474
770,001,8,36.765423,-109.3900382
773,001,1,36.8543425,-109.4132351
776,001,4,36.8378527,-109.3551882
778,001,11,36.8544343,-109.3804808
780,001,19,36.8334467,-109.5410764
781,001,12,36.8400446,-109.3419009
782,001,7,36.8430243,-109.3330491
783,001,5,36.8387614,-109.3350594
786,001,6,36.8064933,-109.3065807
788,001,15,36.854414,-109.0617035
800,001,23,36.7224566,-109.186476
802,001,2,36.7039687,-109.1362159
804,001,5,36.6950352,-109.1476815
809,001,5,36.6579077,-109.2020909
813,001,8,36.6439669,-109.1853205
814,001,11,36.6482796,-109.1807351
815,001,15,36.6741955,-109.1268367
818,001,13,36.6666937,-109.0674834
819,001,22,36.7162243,-109.0725406
820,001,6,36.7311018,-109.0871405
822,001,1,36.7232179,-109.1095921
826,001,3,36.7462379,-109.0768587
827,001,11,36.7600553,-109.0670352
829,001,18,36.7403868,-109.0516264
830,001,8,36.7419231,-109.0630354
831,001,20,36.711853,-109.0634821
832,001,8,36.711024,-109.0599633
833,001,16,36.7228242,-109.0594111
835,001,9,36.7273888,-109.0506509
836,001,7,36.7139537,-109.05083810000001
837,001,1,36.7056985,-109.0462673
840,001,41,36.6342189,-109.0977701
841,001,1,36.6606951,-109.0749235
843,001,11,36.6011317,-109.0732427
845,001,36,36.6076369,-109.0712817
849,001,4,36.5977482,-109.1363167
853,001,9,36.6294549,-109.204294
860,001,6,36.679256,-109.2292147
865,001,24,36.5869578,-109.2067509
866,001,19,36.6023631,-109.1895302
867,001,7,36.614308,-109.1841323
868,001,5,36.6219856,-109.1801802
871,001,11,36.5739203,-109.1667352
872,001,100,36.5443169,-109.1421984
873,001,3,36.5178691,-109.190722
876,001,5,36.5668311,-109.1167434
881,001,14,36.580744,-109.1898282
882,001,33,36.5539206,-109.2175216
884,001,21,36.5707641,-109.2137826
886,001,6,36.5641774,-109.1094184
887,001,3,36.4916262,-109.1809653
888,001,17,36.5886934,-109.1159267
889,001,13,36.5701621,-109.0819865
890,001,7,36.5853931,-109.0672243
891,001,16,36.5691007,-109.0750311
892,001,19,36.6024912,-109.0640669
893,001,7,36.6158171,-109.061989
898,001,11,36.5954781,-109.0550356
899,001,9,36.5891161,-109.0544867
900,001,10,36.5926544,-109.0601115
901,001,11,36.5869271,-109.060533
902,001,5,36.5727967,-109.063637
903,001,1,36.57945,-109.0514106
904,001,7,36.5703591,-109.0532871
905,001,12,36.5572522,-109.0546975
906,001,6,36.545501,-109.0504193
907,001,4,36.537137800000004,-109.0501418
912,001,19,36.5453744,-109.0721013
913,001,5,36.5407054,-109.0652321
914,001,5,36.5487925,-109.0635167
915,001,9,36.5440282,-109.0875927
916,001,10,36.5615902,-109.0742702
917,001,9,36.528578,-109.0956259
919,001,2,36.5281213,-109.0748985
920,001,4,36.5235706,-109.0819168
921,001,55,36.4934267,-109.0662308
923,001,8,36.5235809,-109.0683322
924,001,2,36.4683282,-109.0502401
925,001,3,36.5058795,-109.084819
927,001,1,36.525958,-109.0608758
928,001,3,36.5227494,-109.0757924
930,001,1,36.5430967,-109.0590619
935,001,2,36.4776757,-109.1711802
939,001,3,36.48155,-109.1011401
940,001,3,36.4770014,-109.1242093
943,001,1,36.4635411,-109.0809743
945,001,11,36.6068932,-109.0694923
946,001,29,36.6067257,-109.0708318
948,001,3,36.4388726,-109.0732146
969,001,3,36.3563787,-109.1070227
973,001,1,36.3555098,-109.0572103
975,001,1,36.3900647,-109.0509235
981,001,4,36.36665,-109.0545084
982,001,3,36.3991721,-109.0708717
983,001,2,36.3764133,-109.0890603
985,001,4,36.5598252,-109.2273096
986,001,48,36.5675726,-109.253483
988,001,8,36.5714975,-109.2216598
992,001,12,36.523296,-109.2227216
994,001,2,36.5096391,-109.0788679
995,001,4,36.5844158,-109.0888825
997,001,1,36.3096897,-109.0539035
998,001,1,36.3208475,-109.0518003
1001,001,8,36.3004081,-109.0510075
1002,001,9,36.5906238,-109.1839923
1003,001,7,36.5755867,-109.2158969
1004,001,1,36.5624148,-109.2193487
1005,001,1,36.619519,-109.1304053
1006,001,1,36.6143228,-109.1526395
1010,001,4,36.7069764,-109.1058317
1011,001,4,36.7165936,-109.1181773
1015,001,2,36.7096393,-109.0730486
1016,001,1,36.5817736,-109.2089967
1020,001,9,36.654924,-109.186816
1024,001,5,36.5101257,-109.1858547
1027,001,3,36.1411046,-109.0625377
1028,001,1,36.1443808,-109.0863984
1033,001,12,36.0996089,-109.1159249
1034,001,2,36.0742286,-109.0980373
1035,001,6,36.0779754,-109.0982494
1037,001,5,36.1143172,-109.0680689
1041,001,4,36.0831134,-109.0932798
1043,001,1,36.0486632,-109.1344223
1044,001,4,36.0650751,-109.1151943
1046,001,5,36.0879146,-109.1515644
1054,001,1,36.0677769,-109.0886503
1058,001,5,36.0400839,-109.0551926
