tract,county,pop,lat,long
003315,051,4191,-78.99885974036701,35.092841615091686
003315,067,3729,-80.0679303559247,36.09673271591348
003316,051,2133,-79.01714838430276,35.091881304916605
003317,051,3577,-78.9913901088887,35.071825643174265
003318,051,2496,-79.007088866582,35.07913500873083
003401,051,2630,-78.9948286142067,35.16422035124079
003401,119,2168,-80.85884196939956,35.202848473035964
003402,067,2396,-80.13951463246738,36.03893804140763
003402,119,4111,-80.84901002391305,35.19833678090697
003403,051,3524,-79.01761606088675,35.140808678584854
003403,067,3375,-80.18274392511843,36.05602631895097
003404,051,2469,-79.02852522398787,35.131060211635734
003404,067,3876,-80.19178895337976,36.06733228824982
003408,051,5252,-78.96430727945278,35.133722152695626
003409,051,3703,-79.01219073590022,35.15239262575352
003410,051,4903,-78.99651798115079,35.12552593173823
003500,067,8076,-80.20923781461926,36.03403800467108
003500,119,2901,-80.84524227563496,35.20712106758078
003501,051,3532,-78.98440960628814,35.172701999166044
003502,051,1752,-78.96945467902336,35.17379027370391
003600,067,7037,-80.24460595675896,36.01931086012748
003600,119,3777,-80.8721948746203,35.21632306564112
003601,051,2902,-78.95988515961592,35.19232745898646
003602,051,2119,-78.99575087652349,35.20008214466075
003700,051,7506,-78.80700318632698,35.215741197395275
003701,067,4686,-80.2704190178881,36.055464454634084
003701,119,1978,-80.8672946764414,35.208454342594514
003702,067,5372,-80.2786848276476,36.037819057144915
003702,119,2280,-80.87605162241714,35.20227277829944
003703,067,8478,-80.28164110968235,36.01223869247623
003800,051,2588,-78.87501544884067,35.06196021451699
003802,119,3615,-80.88870466303855,35.19232490702571
003803,067,4942,-80.30894862737178,36.02370988460672
003804,067,5253,-80.32244023188686,36.03643692868719
003805,067,6598,-80.3243513926926,36.06320317786049
003805,119,3228,-80.91272750941354,35.17856410753618
003806,067,3158,-80.34631500458633,36.04196358760807
003807,119,4569,-80.89037385585,35.14981628405638
003808,119,5562,-80.88480590560316,35.144994805743956
003809,119,3362,-80.91778530245787,35.15213217125806
003810,119,4100,-80.90435666218504,35.15344233152919
003811,119,2793,-80.89624104236,35.16942248433399
003902,119,4850,-80.89933259483045,35.211244492977514
003903,067,4860,-80.32328518693464,36.079764024513096
003903,119,2411,-80.91792830537692,35.21201637668271
003904,067,6820,-80.35492654231246,36.06977984573122
003905,067,3633,-80.3251355265483,36.089612711190114
003906,067,3657,-80.32344724778059,36.10074398974814
003908,067,3265,-80.33634198906066,36.11275063390931
003909,067,4671,-80.34766601750503,36.09606118759758
004000,119,4546,-80.90408465391818,35.23319511685653
004005,067,4870,-80.39903305390037,36.0054703258546
004007,067,8016,-80.45393868146647,36.06791414452827
004009,067,4456,-80.4452695888206,36.11146078373416
004010,067,5145,-80.37985051713956,36.10903338344088
004011,067,5908,-80.39302834886615,36.088486926561025
004012,067,6008,-80.38612945348528,36.05819129724766
004013,067,4104,-80.39605273779773,36.03395781972247
004014,067,3431,-80.37177990967211,36.02592174068246
004015,067,4624,-80.36626013429992,35.998314780224426
