alpha,beta,gamma,pop_dif
21.099999999999998,0.9,0.1,0.26645312580324976
21.099999999999998,0.9,0.2,0.5640929084522641
21.099999999999998,0.9,0.30000000000000004,0.4378349642014242
21.099999999999998,0.9,0.4,0.6025992307885674
21.099999999999998,0.9,0.5,0.21003199793317542
21.099999999999998,0.9,0.6000000000000001,0.4235628205309334
21.099999999999998,0.9,0.7000000000000001,0.3062780091727645
21.099999999999998,0.9,0.8,0.7386894115276404
21.099999999999998,0.9,0.9,0.4363619213518012
21.099999999999998,0.9,1,0.4717464799917102
21.099999999999998,0.9,1.1,0.523027893163363
21.099999999999998,0.9,1.2000000000000002,0.5563454312142884
21.099999999999998,0.9,1.3,0.23381045604801182
21.099999999999998,0.9,1.4000000000000001,0.7681116264211433
21.099999999999998,0.9,1.5,0.26209530067069997
21.099999999999998,0.9,1.6,0.4538406929440705
21.099999999999998,0.9,1.7000000000000002,0.7453694111297963
21.099999999999998,0.9,1.8,0.3658201763156068
21.099999999999998,0.9,1.9000000000000001,0.7005053180002774
21.099999999999998,0.9,2,0.3389161861778559
21.099999999999998,0.9,2.1,0.7811227202265363
21.099999999999998,0.9,2.2,0.49857169288055014
21.099999999999998,0.9,2.3000000000000003,0.4301212453898599
21.099999999999998,0.9,2.4000000000000004,0.7721576070637535
21.099999999999998,0.9,2.5,0.4927532411038537
21.2,0.9,0,0.23140659473743866
21.2,0.9,0.1,0.4629524425262463
21.2,0.9,0.2,0.38342559603390836
21.2,0.9,0.30000000000000004,0.3039605360868489
21.2,0.9,0.4,0.25741009556718997
21.2,0.9,0.5,0.46745597982430565
21.2,0.9,0.6000000000000001,0.7538185363437998
21.2,0.9,0.7000000000000001,0.3966800754893129
21.2,0.9,0.8,0.26658329846062484
21.2,0.9,0.9,0.4346612562033274
21.2,0.9,1,0.29261315313364983
21.2,0.9,1.1,0.27005123757966293
21.2,0.9,1.2000000000000002,0.24098175232465596
21.2,0.9,1.3,0.21428995162750317
21.2,0.9,1.4000000000000001,0.35343907081883347
21.2,0.9,1.5,0.4201213155340096
21.2,0.9,1.6,0.808022192989353
21.2,0.9,1.7000000000000002,0.2992351532871459
21.2,0.9,1.8,0.4714959917910094
21.2,0.9,1.9000000000000001,0.23473464928852034
21.2,0.9,2,0.37623964938714144
21.2,0.9,2.1,0.6381470402590631
21.2,0.9,2.2,0.6614836544543146
21.2,0.9,2.3000000000000003,0.33354650937612473
21.2,0.9,2.4000000000000004,0.4927532411038537
21.2,0.9,2.5,0.41725381122176597
21.299999999999997,0.9,0,0.46705955751787687
21.299999999999997,0.9,0.1,0.8320822542704382
21.299999999999997,0.9,0.2,0.33723551961390014
21.299999999999997,0.9,0.30000000000000004,0.38040078880462946
21.299999999999997,0.9,0.4,0.21374471976658102
21.299999999999997,0.9,0.5,0.9238302840220389
21.299999999999997,0.9,0.6000000000000001,0.40575148523824073
21.299999999999997,0.9,0.7000000000000001,0.47671001616083225
21.299999999999997,0.9,0.8,0.23926949757751248
21.299999999999997,0.9,0.9,0.7742313251447336
21.299999999999997,0.9,1,0.32178568318548556
21.299999999999997,0.9,1.1,0.8099440900434257
21.299999999999997,0.9,1.2000000000000002,0.2827568677431043
21.299999999999997,0.9,1.3,0.2315122451214115
21.299999999999997,0.9,1.4000000000000001,0.8159079019888089
21.299999999999997,0.9,1.5,0.5757766190185698
21.299999999999997,0.9,1.6,0.5218653960918975
21.299999999999997,0.9,1.7000000000000002,0.4827728404762755
21.299999999999997,0.9,1.8,0.4233767429114714
21.299999999999997,0.9,1.9000000000000001,0.2629729613917813
21.299999999999997,0.9,2,0.8005128677636405
21.299999999999997,0.9,2.1,0.23611665026035827
21.299999999999997,0.9,2.2,0.08706221617324045
